"rules" "support" "confidence" "coverage" "lift" "count" "phi" "gini"
"1" "{items=Tshirt} => {daypart=Evening}" 0.00105652403592182 1 0.00105652403592182 36.264367816092 10 0.193124461026952 0.00200023234530944
"46" "{items=Tshirt,day_type=Weekend} => {daypart=Evening}" 0.00105652403592182 1 0.00105652403592182 36.264367816092 10 0.193124461026952 0.00200023234530944
"2" "{items=Tshirt} => {day_type=Weekend}" 0.00105652403592182 1 0.00105652403592182 2.85090361445783 10 0.0442446878198128 0.000891601930875507
"45" "{items=Tshirt,daypart=Evening} => {day_type=Weekend}" 0.00105652403592182 1 0.00105652403592182 2.85090361445783 10 0.0442446878198128 0.000891601930875507
"69" "{items=Afternoon with the baker,daypart=Evening} => {day_type=Weekend}" 0.00137348124669836 1 0.00137348124669836 2.85090361445783 13 0.0504547108274724 0.00115945039498055
"9" "{items=Focaccia} => {day_type=Weekend}" 0.001162176439514 0.916666666666667 0.00126782884310618 2.61332831325301 11 0.0422509664904098 0.000813058933046007
"48" "{items=Bread,Toast,day_type=Weekday} => {daypart=Morning}" 0.001162176439514 1 0.001162176439514 2.30684864733122 11 0.0389943055091 0.000746826062734463
"87" "{items=Bread,Pastry,day_type=Weekend} => {daypart=Morning}" 0.00179609086106709 0.944444444444444 0.00190174326465927 2.17869038914615 17 0.0450066192011288 0.00099487809208465
"15" "{items=Bread,Toast} => {daypart=Morning}" 0.00137348124669836 0.928571428571429 0.00147913365029054 2.14207374395042 13 0.0384509113027187 0.00072615671892351
"10" "{items=Coffee,Coffee,Toast} => {daypart=Morning}" 0.001162176439514 0.916666666666667 0.00126782884310618 2.11461126005362 11 0.0347389409013373 0.0005927208892198
"57" "{items=Coffee,Coffee,Medialuna,day_type=Weekday} => {daypart=Morning}" 0.001162176439514 0.916666666666667 0.00126782884310618 2.11461126005362 11 0.0347389409013373 0.0005927208892198
"26" "{items=Coffee,Coffee,Medialuna} => {daypart=Morning}" 0.00169043845747491 0.888888888888889 0.00190174326465927 2.05053213096109 16 0.0401130780500945 0.000790294687944559
"24" "{items=Coffee,Keeping It Local} => {daypart=Morning}" 0.00147913365029054 0.875 0.00169043845747491 2.01849256641482 14 0.0366616733919046 0.000660148519843862
"19" "{items=Medialuna,Bread} => {daypart=Morning}" 0.00137348124669836 0.866666666666667 0.00158478605388273 1.99926882768706 13 0.0348256650488173 0.000595683983392381
"38" "{items=Pastry,Coffee} => {daypart=Morning}" 0.00338087691494982 0.864864864864865 0.00390913893291072 1.99511234363781 32 0.0545318890142422 0.00146055585474358
"75" "{items=Pastry,Coffee,day_type=Weekday} => {daypart=Morning}" 0.00253565768621236 0.857142857142857 0.00295826730058109 1.97729884056962 24 0.0465668407931973 0.00106505156869174
"8" "{items=Bread,Baguette} => {daypart=Morning}" 0.00105652403592182 0.833333333333333 0.00126782884310618 1.92237387277602 10 0.0287475038191901 0.000405898425214102
"54" "{items=Coffee,Keeping It Local,day_type=Weekday} => {daypart=Morning}" 0.00105652403592182 0.833333333333333 0.00126782884310618 1.92237387277602 10 0.0287475038191901 0.000405898425214102
"73" "{items=Bread,Medialuna,day_type=Weekend} => {daypart=Morning}" 0.00137348124669836 0.8125 0.00169043845747491 1.87431452595662 13 0.0314718385282395 0.000486475882290283
"44" "{items=Bread,Pastry} => {daypart=Morning}" 0.00528262017960909 0.806451612903226 0.00655044902271527 1.86036181236389 50 0.0611126485723969 0.00183433772506653
"4" "{items=Sandwich,Coke} => {daypart=Afternoon}" 0.00105652403592182 1 0.00105652403592182 1.85989388877972 10 0.0301572450264111 0.000452149289291381
"78" "{items=Cookies,day_type=Weekend} => {daypart=Afternoon}" 0.001162176439514 1 0.001162176439514 1.85989388877972 11 0.0316308581697157 0.000497416827086261
"83" "{items=Coffee,Sandwich,day_type=Weekend} => {daypart=Afternoon}" 0.00158478605388273 1 0.00158478605388273 1.85989388877972 15 0.0369447010350738 0.000678582782579318
"37" "{items=Bread,Medialuna} => {daypart=Morning}" 0.00295826730058109 0.8 0.00369783412572636 1.84547891786498 28 0.0450576266738862 0.000997134425675283
"27" "{items=Chicken Stew} => {daypart=Afternoon}" 0.00179609086106709 0.944444444444444 0.00190174326465927 1.75656645051418 17 0.0356134414026847 0.000630559986565249
"59" "{items=Chicken Stew,day_type=Weekday} => {daypart=Afternoon}" 0.00158478605388273 0.9375 0.00169043845747491 1.74365052073099 15 0.0329999682467758 0.000541409120110192
"86" "{items=Sandwich,day_type=Weekday} => {daypart=Afternoon}" 0.00433174854727945 0.931818181818182 0.004648705758056 1.73308294181747 41 0.0540267096850515 0.00145116087726943
"56" "{items=Truffles,day_type=Weekday} => {daypart=Afternoon}" 0.00126782884310618 0.923076923076923 0.00137348124669836 1.71682512810436 12 0.0286682121349441 0.000408601298211242
"43" "{items=Sandwich} => {daypart=Afternoon}" 0.00591653460116218 0.918032786885246 0.00644479661912309 1.70744357002728 56 0.0614437876665515 0.00187695768856649
