"rules" "support" "confidence" "coverage" "lift" "count" "phi" "gini"
"1" "{Extra Salami or Feta} => {Coffee}" 0.00327487851257131 0.815789473684211 0.00401436720895838 1.70620043258832 31 0.0429144737246798 0.000919064679136938
"2" "{Keeping It Local} => {Coffee}" 0.00538770335939151 0.80952380952381 0.00665539826748363 1.69309597458073 51 0.0543030513212351 0.00147159045084377
"3" "{Cake,Vegan mincepie} => {Coffee}" 0.0010564124234101 0.833333333333333 0.00126769490809212 1.74289291500957 10 0.0253339460218437 0.000320290587221272
"4" "{Extra Salami or Feta,Salad} => {Coffee}" 0.00147897739277414 0.875 0.00169025987745616 1.83003756076005 14 0.0326915590834312 0.000533346881023189
"5" "{Hearty & Seasonal,Sandwich} => {Coffee}" 0.00126769490809212 0.857142857142857 0.00147897739277414 1.79268985543842 12 0.0292011033915523 0.000425536696648798
"6" "{Salad,Sandwich} => {Coffee}" 0.00158461863511515 0.833333333333333 0.00190154236213818 1.74289291500957 15 0.0310374710220483 0.000480740984058425
"7" "{Pastry,Toast} => {Coffee}" 0.00137333615043313 0.866666666666667 0.00158461863511515 1.81260863160996 13 0.0309871746146086 0.00047918415922299
